synthetic_profile_benchmark files_observed=5473804389 phases=100 elapsed_s=1970.039 files_per_second=2778526.176 logical_size_bytes=7548229507007918 small_files=3970514982 large_files=1503289407
phase index=14 name=phase_14 files=100000000 small=96507578 large=3492422 small_ratio=0.965 logical_size_bytes=126101016420870 avg_filename_len=24.302 avg_depth=5.069 size_buckets=<=0:34364/0,<=4096:314987/284032758,<=16384:5763/68477430,<=65536:37319477/2129129915771,<=131072:58832987/4808044634775,<=1048576:1461447/365696992674,<=16777216:1253272/5219708031610,<=134217728:493135/36948157522128,<=1073741824:277100/60080296639015,<=inf:7468/16549630174709
phase index=15 name=phase_15 files=100000000 small=94460564 large=5539436 small_ratio=0.945 logical_size_bytes=136037750373707 avg_filename_len=23.976 avg_depth=5.153 size_buckets=<=0:34683/0,<=4096:1322178/462893026,<=16384:17088/195520852,<=65536:38983313/2127934336517,<=131072:54103302/4397650318600,<=1048576:1965530/802499037448,<=16777216:2548269/11333866885823,<=134217728:754925/28911185443034,<=1073741824:265073/75945046708297,<=inf:5639/12518909230110
phase index=16 name=phase_16 files=100000000 small=59211387 large=40788613 small_ratio=0.592 logical_size_bytes=775848584622088 avg_filename_len=22.766 avg_depth=5.229 size_buckets=<=0:22331/0,<=4096:2612499/972564613,<=16384:20870231/257537085443,<=65536:23468361/735644336498,<=131072:12237965/1057043769357,<=1048576:36901852/7985517675067,<=16777216:2076571/8811864587598,<=134217728:1045347/40639604072082,<=1073741824:536129/191824520015372,<=inf:228714/524535880516058
phase index=17 name=phase_17 files=100000000 small=51479612 large=48520388 small_ratio=0.515 logical_size_bytes=11727292092889 avg_filename_len=23.177 avg_depth=5.000 size_buckets=<=0:21699/0,<=4096:292231/856552186,<=16384:24797943/308089033487,<=65536:23563855/485132807850,<=131072:2803884/314684934359,<=1048576:48518697/10151331641253,<=16777216:874/4430518171,<=134217728:436/18764174349,<=1073741824:231/97699035394,<=inf:150/346303395840
phase index=18 name=phase_18 files=100000000 small=52063385 large=47936615 small_ratio=0.521 logical_size_bytes=14033262555146 avg_filename_len=23.181 avg_depth=5.000 size_buckets=<=0:19603/0,<=4096:275356/813959516,<=16384:24431705/302952104452,<=65536:24257562/501588673306,<=131072:3079159/347569539618,<=1048576:47929296/10201019737807,<=16777216:3700/19544060360,<=134217728:1461/73041147865,<=1073741824:1212/442134239998,<=inf:946/2144599092224
phase index=19 name=phase_19 files=100000000 small=50987965 large=49012035 small_ratio=0.510 logical_size_bytes=14324220022634 avg_filename_len=23.138 avg_depth=5.001 size_buckets=<=0:14596/0,<=4096:268220/783210037,<=16384:25179095/313403262952,<=65536:22939763/470338940695,<=131072:2586291/297471728310,<=1048576:48999642/10415662895784,<=16777216:6461/31152840069,<=134217728:3689/144063016865,<=1073741824:1282/482365716402,<=inf:961/2168978411520
phase index=20 name=phase_20 files=100000000 small=51701412 large=48298588 small_ratio=0.517 logical_size_bytes=13591116269283 avg_filename_len=23.112 avg_depth=5.001 size_buckets=<=0:13832/0,<=4096:241303/694674363,<=16384:27963171/345457911978,<=65536:21108066/428061940082,<=131072:2375040/275327321505,<=1048576:48289137/10170929698392,<=16777216:4927/24201079937,<=134217728:2590/104926677826,<=1073741824:1124/423946313040,<=inf:810/1817570652160
phase index=21 name=phase_21 files=100000000 small=50655811 large=49344189 small_ratio=0.507 logical_size_bytes=173753653106692 avg_filename_len=23.062 avg_depth=5.043 size_buckets=<=0:18313/0,<=4096:493442/635490742,<=16384:25012884/310194545071,<=65536:22986490/474087529497,<=131072:2144682/250345892814,<=1048576:48411488/10279613239974,<=16777216:371019/1536852486197,<=134217728:340885/12357623425139,<=1073741824:189438/101291483117309,<=inf:31359/47252817379949
phase index=22 name=phase_22 files=100000000 small=42929921 large=57070079 small_ratio=0.429 logical_size_bytes=228707590101849 avg_filename_len=23.384 avg_depth=5.193 size_buckets=<=0:16230/0,<=4096:2071995/888080525,<=16384:22768134/268069227758,<=65536:16367513/339373207922,<=131072:1706049/184982093238,<=1048576:52553461/15505283376767,<=16777216:3223767/15262390105867,<=134217728:872152/30446285435946,<=1073741824:414143/151130352274836,<=inf:6556/15569966298990
phase index=23 name=phase_23 files=100000000 small=28623915 large=71376085 small_ratio=0.286 logical_size_bytes=27508320001462 avg_filename_len=23.015 avg_depth=5.000 size_buckets=<=0:1462/0,<=4096:404889/1336939302,<=16384:22811153/226098284175,<=65536:5238324/117173850023,<=131072:168087/18798259857,<=1048576:71374852/27135346871934,<=16777216:1059/4295328217,<=134217728:172/4479469577,<=1073741824:2/790998377,<=inf:0/0
